name,review_count,country_date,review_body
rodney sg,5.0 out of 5 stars,"Reviewed in the United States on October 30, 2022","I am relatively new to the videography game,  ut I was able to level up with this lens on my GH6 using the viltrox speed booster. So glad I made this purchase, this does it all for me in run and gun, as well as corporate content, I can’t regret this purchase, even with my lack of experience this lens hits all the right spots"
JT Andrews,5.0 out of 5 stars,"Reviewed in the United States on September 30, 2022","This lens is awesome! For the price you get with the shallow depth of field, the ability to do portrait photos and landscapes. It also doubles as being an insane cinema-ish lens for aspiring or seasoned filmmakers. The shallow depth of field combines with the sharpness of the lens makes this lens an amazing product"
"DIX PIX photo, video, and pro audio",5.0 out of 5 stars,"Reviewed in the United States on June 23, 2016","There's NO WAY there's a better video lens for the a6300 (if it is appropriate to use, meaning for being close up, or for wanting to be wide)."
danno,4.0 out of 5 stars,"Reviewed in the United States on May 25, 2022","I have a love hate relationship with lenses.  Most of the ones I have bought are great for daytime use.  But since I do astrophotography and my lenses are always dual use, most of the lenses I have bought are not great for Astro."
maskirovka,5.0 out of 5 stars,"Reviewed in the United States on July 18, 2013","This is a review I expect to update as I continue to use my brand new Sigma 18-35mm F1.8 lens.  I am not a super-technical pixel-peeper kind of guy but I am a pretty experienced photographer and I'm writing this with a similar audience in mind.  I bought this lens because I do a lot of event photography, especially dance (doing volunteer work for a ballet company) and while I've done pretty well with my trusty Canon 24-70mm F2.8 lens, I've felt a bit (sometimes more than a bit) limited when I photograph fast moving dance sequences in the low-light environments stage and dance very often are.  That's because the 24-70mm F2.8 simply doesn't do as well on an EOS 7D with its 1.6x (APS-C) crop that it does on a full-frame like my EOS 5D Mark III."
Larry Flaxman,3.0 out of 5 stars,"Reviewed in the United States on September 27, 2022","This is an excellent lens for anyone looking to get into photography. The image quality is superb and the autofocus is very fast and accurate. The build quality is also excellent, feeling very solid and well-constructed. The only downside is that it is a bit on the heavy side, but that is to be expected with a lens of this caliber. The biggest negative (for me at least) is that it's SUPER LARGE... AND HEAVY! Overall, I would highly recommend it to anyone in the market for a new lens - as long as you are ok with the size."
Kingsmen Media Group,5.0 out of 5 stars,"Reviewed in the United States on August 22, 2022",Great lens but a lil expensive
MicahO,3.0 out of 5 stars,"Reviewed in the United States on March 31, 2015",This is my new everything lens. I've got a 70D that I've been using on an off for a year. Recently I just lost my job and began picking up freelance work and I needed a much faster lens for the new work I was doing. I bought this baby and I love it. I'm able to get very good indoor low light shots and still keep a substantial amount of bokeh. It's got a great build quality and wonderful feel. I still haven't gotten used to the lens zoom which is opposite of Canon lenses but its a small problem I'm sure I'll soon adjust to.
Erica manzano,5.0 out of 5 stars,"Reviewed in the United States on July 8, 2022","What an amazing lens! If you’re still on the fence of getting it, let this be your sign. I never leave reviews but this item was to good to not brag about."
BlueBomberTurbo,3.0 out of 5 stars,"Reviewed in the United States on April 17, 2015",************************
Ernesto García,5.0 out of 5 stars,"Reviewed in the United States on September 14, 2016","I'm an amateur photographer, and as such, I appreciate the versatility that this lens gives me. First, the wide aperture at a wide angle, something that is hard to find even on primes, and second, the fact that is not a prime lens and allows you a certain degree on zooming, albeit not much. but who would ask for more of this."
Jesse,5.0 out of 5 stars,"Reviewed in the United States on June 30, 2022",Very nice lens.  I’m super happy with my purchase.  It is quite heavy but is built incredibly well.
Gama,3.0 out of 5 stars,"Reviewed in the United States on July 23, 2022","I love everything about this lens. Unfortunately my lens came with a defect. As I was inspecting it, I noticed that it had to dust particles inside the lens. Those particles are impossible to clean. I’m going to have to return it but I will purchase another one from Amazon instead of a third-party."
Doug Davis,5.0 out of 5 stars,"Reviewed in the United States on January 16, 2017","I recently got my Panasonic GH4 and was told this was the go to lens for most shooters with this camera. I did my research and found out this lens becomes a 1.2 with the metabones adapter.. I had to try it out. I purchased this used right here from amazon for a few hundred dollars cheaper and I couldn't tell that the lens wasn't brand new.. It came with not a single mark on it and worked as If nobody ever used it. I'm assuming someone returned it once they found out it was a cropped sensor and wouldn't work properly on a Full Frame Camera. Luckily for me, the GH4 isn't full framed and it worked and looks amazing."
Maruwaan,4.0 out of 5 stars,"Reviewed in the United States on December 15, 2018",The Pros:
Zachary J. Millimet,5.0 out of 5 stars,"Reviewed in the United States on November 23, 2014","I did a painstaking amount of research prior to purchasing this lens back in December 2013.  IAt the time, I was looking to upgrade from the mediocre kit lens that came with my Canon T3i and I went back and forth between this lens, a litany of Canon L lenses, as well as considering just buying 2 separate prime lenses.  At the end of the day, I don't think I could have gone wrong with any of my choices.  It's hard to go wrong with high end Primes and Canon's L series lenses at the lower focal lengths are fantastic.  So why did I buy the Sigma.  Certainly, the reviews from professionals were all stellar.  This gave me peace of mind  Second, I spent a lot of time considering how I like to shoot.  I really dislike using flash, bur rather prefer fast lenses with low F-stops to allow me to shoot indoors and in low light situations without flash, when possible.  So the fact that this lens allows F/1.8 was a big selling feature.  The fact that it was fixed across all the focal lengths really started to sell me.  Lastly, this lens covers a small, but critical zoom range:  18-35mm.  Especially because I shoot on a cropped body camera, this is the range I mostly live in all the time when shooting.  This lens is perfect - functing like a prime, across a critical focal range.  Some people have noted that it can be a bit soft on autofocus or mis-focus when using certain camera bodies.  I choice my focal points very specifically, and this has not been an issues for me.  The bokeh is very good, some lenses are better, but still this lens produces great bokeh.  It is also a very large and heavy lens - there is a lot of glass here.  Any prospective buyer should be aware of this.  For me, I have come to appreciate this heft of the lens - it is part of what I love about this lens."
